Time,Position_X,Position_Y,Velocity_X,Velocity_Y,Power,Angle,Force,Rocket_Fuel
2023-05-24 00:01:09,151473222660.441,8477497.679776639,879.7511109361078,879.7511109361078,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222675.10352,8478003.847987968,879.7501433486294,879.7501433486294,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222689.76602,8478510.013504287,879.7491753950993,879.7491753950993,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222704.4285,8479016.176325606,879.7482070755199,879.7482070755199,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222719.09097,8479522.33645193,879.7472383898942,879.7472383898942,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222733.75342,8480028.493883273,879.7462693382245,879.7462693382245,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222748.41586,8480534.648619637,879.745299920514,879.745299920514,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222763.07828,8481040.800661033,879.7443301367648,879.7443301367648,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222777.7407,8481546.95000747,879.7433599869801,879.7433599869801,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222792.40308,8482053.096658956,879.7423894711613,879.7423894711613,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222807.06546,8482559.240615498,879.7414185893117,879.7414185893117,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222821.7278,8483065.381877106,879.7404473414334,879.7404473414334,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222836.39017,8483571.520443788,879.7394757275296,879.7394757275296,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222851.0525,8484077.656315552,879.7385037476024,879.7385037476024,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222865.7148,8484583.789492406,879.737531401655,879.737531401655,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222880.3771,8485089.919974359,879.7365586896898,879.7365586896898,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222895.03937,8485596.047761418,879.7355856117097,879.7355856117097,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222909.70163,8486102.172853593,879.7346121677177,879.7346121677177,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222924.36386,8486608.29525089,879.7336383577162,879.7336383577162,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222939.0261,8487114.414953321,879.7326641817083,879.7326641817083,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222953.6883,8487620.531960892,879.7316896396961,879.7316896396961,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222968.3505,8488126.64627361,879.7307147316827,879.7307147316827,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222983.01266,8488632.757891484,879.7297394576705,879.7297394576705,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222997.67484,8489138.866814524,879.7287638176624,879.7287638176624,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223012.33698,8489644.973042736,879.7277878116608,879.7277878116608,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223026.9991,8490151.07657613,879.7268114396687,879.7268114396687,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223041.66122,8490657.177414715,879.7258347016884,879.7258347016884,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223056.32333,8491163.275558498,879.7248575977229,879.7248575977229,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223070.9854,8491669.371007485,879.7238801277738,879.7238801277738,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223085.6475,8492175.463761687,879.722902291844,879.722902291844,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223100.30954,8492681.553821113,879.7219240899358,879.7219240899358,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223114.97156,8493187.64118577,879.7209455220523,879.7209455220523,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223129.63358,8493693.725855665,879.7199665881965,879.7199665881965,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223144.29556,8494199.807830809,879.7189872883706,879.7189872883706,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223158.95755,8494705.887111207,879.7180076225777,879.7180076225777,0,2.0,1,2000.0
2023-05-24 00:01:09,151473223173.6195,8495211.963696871,879.7170275908201,879.7170275908201,0,2.0,1,2000.0
2023-05-24 00:01:10,151473223188.28146,8495718.037587807,879.7160471931007,879.7160471931007,0,2.0,1,2000.0
2023-05-24 00:01:10,151473223202.9434,8496224.108784024,879.715066429422,879.715066429422,0,2.0,1,2000.0
2023-05-24 00:01:10,151473223217.60532,8496730.17728553,879.7140852997868,879.7140852997868,0,2.0,1,2000.0
2023-05-24 00:01:10,151473223232.2672,8497236.243092332,879.7131038041974,879.7131038041974,0,2.0,1,2000.0
